code insee,ville,code postal,latitude,longitude,pays
1411,SOUCLIN,1150,45.8772713832, 5.32595701713,FR
1401,SERGY,1630,46.2145490709, 5.95816552297,FR
1088,CHARNOZ SUR AIN,1800,45.8984701804, 5.16340257624,FR
1081,CHAMPFROMIER,1410,46.2796643227, 5.91198359476,FR
1098,CHAZEY BONS,1300,45.7328309975, 5.65715901636,FR
1115,CONFRANCON,1310,46.2412963633, 5.11553315012,FR
1109,COLLONGES,1550,46.1521009626, 5.90976446888,FR
1144,DOMMARTIN,1380,46.3161847468, 4.97400450524,FR
1075,CHALEINS,1480,46.0178170669, 4.81482624573,FR
1110,COLOMIEU,1300,45.7328309975, 5.65715901636,FR
1134,CROTTET,1750,46.2973437135, 4.87546330177,FR
1286,PARVES ET NATTAGES,1300,45.7328309975, 5.65715901636,FR
1332,ST ANDRE DE BAGE,1380,46.3161847468, 4.97400450524,FR
1337,ST BENIGNE,1190,46.4316836316, 4.96424452785,FR
1323,REYSSOUZE,1190,46.4316836316, 4.96424452785,FR
1319,RELEVANT,1990,46.0766987934, 4.89959868147,FR
1331,ST ALBAN,1450,46.1107742949, 5.45519733117,FR
1303,PONCIN,1450,46.1107742949, 5.45519733117,FR
1308,POUGNY,1550,46.1521009626, 5.90976446888,FR
1288,PERON,1630,46.2145490709, 5.95816552297,FR
1240,MATAFELON GRANGES,1580,46.2402104429, 5.54908625912,FR
1229,MALAFRETAZ,1340,46.3400485451, 5.13297724307,FR
1197,JOURNANS,1250,46.2066710432, 5.38605889851,FR
1196,JAYAT,1340,46.3400485451, 5.13297724307,FR
1225,LURCY,1090,46.0869886552, 4.79611073763,FR
1216,LHUIS,1680,45.752622921, 5.55446422211,FR
1211,LENT,1240,46.0916655381, 5.14797548998,FR
1209,LEAZ,1200,46.1338706653, 5.81259483702,FR
1245,BOHAS MEYRIAT RIGNAT,1250,46.2066710432, 5.38605889851,FR
1243,MESSIMY SUR SAONE,1480,46.0178170669, 4.81482624573,FR
1252,MOGNENEINS,1140,46.1670266686, 4.8459954399,FR
1280,ORDONNAZ,1510,45.8480243468, 5.61949053703,FR
1249,MIRIBEL,1700,45.8388521429, 4.95806179291,FR
1248,MIONNAY,1390,45.9283135136, 4.92727608131,FR
1247,MIJOUX,1170,46.3286268081, 6.03059799732,FR
1247,MIJOUX,1410,46.2796643227, 5.91198359476,FR
1284,OZAN,1190,46.4316836316, 4.96424452785,FR
2018,ANIZY LE CHATEAU,2320,49.5132435119, 3.44966195866,FR
2028,ATHIES SOUS LAON,2840,49.568752947, 3.72970362193,FR
2015,ANCIENVILLE,2600,49.2730511855, 3.12339772854,FR
2016,ANDELAIN,2800,49.6765246538, 3.39232111371,FR
1056,BOYEUX ST JEROME,1640,46.0337779297, 5.42151732468,FR
1052,BOULIGNEUX,1330,45.9976909227, 5.02164504767,FR
1072,CEYZERIAT,1250,46.2066710432, 5.38605889851,FR
1024,ATTIGNAT,1340,46.3400485451, 5.13297724307,FR
1029,BEAUPONT,1270,46.3890219242, 5.30343220636,FR
1051,BOLOZON,1450,46.1107742949, 5.45519733117,FR
1045,BIRIEUX,1330,45.9976909227, 5.02164504767,FR
1059,BRENAZ,1260,45.9506630232, 5.68746147482,FR
1358,ST GERMAIN LES PAROISSES,1300,45.7328309975, 5.65715901636,FR
1367,ST JULIEN SUR REYSSOUZE,1560,46.44295833, 5.12304891736,FR
1362,ST JEAN DE THURIGNEUX,1390,45.9283135136, 4.92727608131,FR
1376,ST MAURICE DE BEYNOST,1700,45.8388521429, 4.95806179291,FR
1368,ST JULIEN SUR VEYLE,1540,46.2212986861, 4.98198011208,FR
77020,BANNOST VILLEGAGNON,77970,48.6629667533, 3.14093688522,FR
77021,BARBEY,77130,48.3779377733, 2.96426271153,FR
77025,BAZOCHES LES BRAY,77118,48.3962434685, 3.16889442918,FR
77027,BEAUMONT DU GATINAIS,77890,48.1786433192, 2.5341392437,FR
77034,BLANDY,77115,48.5423516758, 2.77150375047,FR
77035,BLENNES,77940,48.3010302243, 2.97851595666,FR
77037,BOIS LE ROI,77590,48.4860029495, 2.72692404848,FR
77038,BOISSETTES,77350,48.5350739052, 2.60727189442,FR
77039,BOISSISE LA BERTRAND,77350,48.5350739052, 2.60727189442,FR
77045,BOUGLIGNY,77570,48.1729853259, 2.64931159934,FR
77048,BOURRON MARLOTTE,77780,48.334846204, 2.70118147516,FR
77050,BRANSLES,77620,48.1721615922, 2.86730865487,FR
77051,BRAY SUR SEINE,77480,48.4107576867, 3.29924400161,FR
77052,BREAU,77720,48.5850477632, 2.89649549396,FR
77059,BUSSY ST MARTIN,77600,48.8361794738, 2.73226890342,FR
77060,BUTHIERS,77760,48.2952371456, 2.54278715647,FR
77073,CHALAUTRE LA PETITE,77160,48.5896767151, 3.24326653179,FR
77081,CHAMPDEUIL,77390,48.6400377042, 2.79774834492,FR
77089,LA CHAPELLE RABLAIS,77370,48.5606029777, 3.03744473884,FR
77104,CHATRES,77610,48.733632054, 2.85536623292,FR
77122,COMBS LA VILLE,77380,48.657625449, 2.57531812256,FR
77123,COMPANS,77290,48.979596619, 2.61891087151,FR
77125,CONDE STE LIBIAIRE,77450,48.9197013165, 2.80318191468,FR
77131,COULOMMIERS,77120,48.7888234084, 3.09542739342,FR
77137,COURTACON,77560,48.6366559441, 3.38263980516,FR
77140,COUTENCON,77154,48.4891565609, 3.02294060118,FR
77156,DARVAULT,77140,48.2750471622, 2.70959190478,FR
77178,FAY LES NEMOURS,77167,48.2322771865, 2.71472288232,FR
77194,FORGES,77130,48.3779377733, 2.96426271153,FR
77198,FROMONT,77760,48.2952371456, 2.54278715647,FR
77199,FUBLAINES,77470,48.9379174307, 2.95705670409,FR
77206,GIREMOUTIERS,77120,48.7888234084, 3.09542739342,FR
77211,GRANDPUITS BAILLY CARROIS,77720,48.5850477632, 2.89649549396,FR
77215,GRETZ ARMAINVILLIERS,77220,48.7441435085, 2.75833565592,FR
77217,GRISY SUISNES,77166,48.6689119155, 2.65738604224,FR
77221,GUERMANTES,77600,48.8361794738, 2.73226890342,FR
77226,HERICY,77850,48.4420531578, 2.78873977925,FR
77228,HONDEVILLIERS,77510,48.8662025287, 3.27608944566,FR
77232,ISLES LES VILLENOY,77450,48.9197013165, 2.80318191468,FR
77238,JOUARRE,77640,48.9061273296, 3.10099022317,FR
77249,LESIGNY,77150,48.7409851538, 2.62903924486,FR
77256,LIZINES,77650,48.5152037389, 3.24054822685,FR
77257,LIZY SUR OURCQ,77440,49.0212011816, 3.05011291504,FR
77264,LUMIGNY NESLES ORMEAUX,77540,48.6871810178, 2.97337841043,FR
77267,LA MADELEINE SUR LOING,77570,48.1729853259, 2.64931159934,FR
77269,MAINCY,77950,48.5738526106, 2.69879445507,FR
77270,MAISONCELLES EN BRIE,77580,48.8615810668, 2.95011085183,FR
77280,MARY SUR MARNE,77440,49.0212011816, 3.05011291504,FR
77281,MAUPERTHUIS,77120,48.7888234084, 3.09542739342,FR
77283,MAY EN MULTIEN,77145,49.0701288323, 3.02511074107,FR
77284,MEAUX,77100,48.9417341013, 2.89233400365,FR
77285,LE MEE SUR SEINE,77350,48.5350739052, 2.60727189442,FR
77287,MEILLERAY,77320,48.7632652303, 3.31883214084,FR
77295,MOISENAY,77950,48.5738526106, 2.69879445507,FR
77300,MONTCEAUX LES MEAUX,77470,48.9379174307, 2.95705670409,FR
77305,MONTEREAU FAULT YONNE,77130,48.3779377733, 2.96426271153,FR
77306,MONTEREAU SUR LE JARD,77950,48.5738526106, 2.69879445507,FR
77307,MONTEVRAIN,77144,48.8764616468, 2.75749686803,FR
77313,MONTMACHOUX,77940,48.3010302243, 2.97851595666,FR
77316,MORET LOING ET ORVANNE,77250,48.3334508388, 2.82847916513,FR
77318,MORTCERF,77163,48.7979316478, 2.90271680607,FR
77328,NANTEAU SUR ESSONNE,77760,48.2952371456, 2.54278715647,FR
77330,NANTEUIL LES MEAUX,77100,48.9417341013, 2.89233400365,FR
77338,NOISY RUDIGNON,77940,48.3010302243, 2.97851595666,FR
77339,NOISY SUR ECOLE,77123,48.3612793646, 2.50123990973,FR
77349,OTHIS,77280,49.0831743052, 2.65347938812,FR
77354,PAMFOU,77830,48.4598569753, 2.90486661459,FR
77356,PASSY SUR SEINE,77480,48.4107576867, 3.29924400161,FR
77359,PERTHES,77930,48.4690092081, 2.55644926131,FR
77361,PIERRE LEVEE,77580,48.8615810668, 2.95011085183,FR
77363,LE PIN,77181,48.9151571578, 2.61878172318,FR
77373,PONTAULT COMBAULT,77340,48.7869451025, 2.6135089739,FR
77376,PRECY SUR MARNE,77410,48.9493778355, 2.7161171355,FR
77382,QUINCY VOISINS,77860,48.889293661, 2.86625543445,FR
77385,REBAIS,77510,48.8662025287, 3.27608944566,FR
77386,RECLOSES,77760,48.2952371456, 2.54278715647,FR
77387,REMAUVILLE,77710,48.2430767523, 2.88428828636,FR
77393,ROZAY EN BRIE,77540,48.6871810178, 2.97337841043,FR
77395,RUMONT,77760,48.2952371456, 2.54278715647,FR
77401,STE AULDE,77260,48.9692370904, 3.12481512651,FR
77405,ST CYR SUR MORIN,77750,48.9148071078, 3.22989278872,FR
77409,ST GERMAIN LAVAL,77130,48.3779377733, 2.96426271153,FR
77411,ST GERMAIN SOUS DOUE,77169,48.8249765475, 3.16311202199,FR
77417,ST LEGER,77510,48.8662025287, 3.27608944566,FR
77428,ST OUEN EN BRIE,77720,48.5850477632, 2.89649549396,FR
77431,ST PIERRE LES NEMOURS,77140,48.2750471622, 2.70959190478,FR
77432,ST REMY LA VANNE,77320,48.7632652303, 3.31883214084,FR
77435,ST SAUVEUR SUR ECOLE,77930,48.4690092081, 2.55644926131,FR
77436,ST SIMEON,77169,48.8249765475, 3.16311202199,FR
77444,SANCY LES PROVINS,77320,48.7632652303, 3.31883214084,FR
77447,SEINE PORT,77240,48.5645874906, 2.60004351705,FR
77451,SIGNY SIGNETS,77640,48.9061273296, 3.10099022317,FR
1005,AMBERIEUX EN DOMBES,1330,45.9976909227, 5.02164504767,FR
1009,ANDERT ET CONDON,1300,45.7328309975, 5.65715901636,FR
1026,BAGE LE CHATEL,1380,46.3161847468, 4.97400450524,FR
1008,AMBUTRIX,1500,45.9756078125, 5.34313562094,FR
1014,ARBENT,1100,46.2468792013, 5.65226081977,FR
1012,ARANC,1110,45.9724218119, 5.577110369,FR
2578,OULCHES LA VALLEE FOULON,2160,49.3988991643, 3.73817191868,FR
2621,PRESLES ET THIERNY,2860,49.4877552055, 3.68304619282,FR
2580,OULCHY LE CHATEAU,2210,49.2129002416, 3.35011614589,FR
2605,PLEINE SELVE,2240,49.7790821794, 3.44336123783,FR
2599,PIERREMANDE,2300,49.5817295222, 3.19169688143,FR
2613,PONTAVERT,2160,49.3988991643, 3.73817191868,FR
2604,PITHON,2480,49.7350949563, 3.17025333523,FR
2596,PAVANT,2310,48.9875725146, 3.27825135374,FR
2673,ST CHRISTOPHE A BERRY,2290,49.4210899814, 3.18005200266,FR
2698,SANCY LES CHEMINOTS,2880,49.4238582409, 3.38402828695,FR
2667,SACONIN ET BREUIL,2200,49.3519078898, 3.32022130463,FR
2678,STE GENEVIEVE,2340,49.6857429854, 4.02291889368,FR
2674,ST CLEMENT,2360,49.7487127053, 4.14397175229,FR
2671,ST AUBIN,2300,49.5817295222, 3.19169688143,FR
2675,STE CROIX,2820,49.512711001, 3.83344703407,FR
2670,ST ALGIS,2260,49.966610567, 3.91127792949,FR
2711,SERCHES,2220,49.3180108636, 3.5439628093,FR
2471,MARTIGNY COURPIERRE,2860,49.4877552055, 3.68304619282,FR
2483,MEZIERES SUR OISE,2240,49.7790821794, 3.44336123783,FR
